"","iso3c","country","lending","region","GDP_Nom_WB_latest_usd","lender_type","lending_agency","sum_row","last_update","DOD2014","DOD2015","DOD2016","DOD2017","DOD2018","DebtServiceDue2019","DebtServiceDue2020","DebtServiceDue2021","DebtServiceDue2022","DebtServiceDue2023","DebtServiceDue2024"
"1","AFG","Afghanistan","IDA","South Asia",19362969582.3643,"Official multilateral","African Dev. Bank",0,"06/19/2020",0,0,0,0,0,0,0,0,0,0,0
"2","AFG","Afghanistan","IDA","South Asia",19362969582.3643,"Official multilateral","Asian Dev. Bank",0,"06/19/2020",645343,613532,596694,615011,590144,33419,33035,32651,32268,31884,31500
"3","AFG","Afghanistan","IDA","South Asia",19362969582.3643,"Official multilateral","Inter-American Dev. Bank",0,"06/19/2020",0,0,0,0,0,0,0,0,0,0,0
"4","AFG","Afghanistan","IDA","South Asia",19362969582.3643,"Official multilateral","International Monetary Fund",0,"06/19/2020",334840,300162,276985,284854,274597,9770,7723,6906,5422,4567,7032
"5","AFG","Afghanistan","IDA","South Asia",19362969582.3643,"Official multilateral","World Bank-IBRD",0,"06/19/2020",0,0,0,0,0,0,0,0,0,0,0
"6","AFG","Afghanistan","IDA","South Asia",19362969582.3643,"Official multilateral","World Bank-IDA",0,"06/19/2020",394587,369722,351221,364172,347934,14678,14600,14510,14419,14329,17529
"7","AFG","Afghanistan","IDA","South Asia",19362969582.3643,"Official multilateral","Other multilateral",0,"06/19/2020",46528,46517,43330,43768,45356,4054,3996,3937,3879,3821,3763
"8","AFG","Afghanistan","IDA","South Asia",19362969582.3643,"Total Official multilateral","Total Official multilateral",1,"06/19/2020",1421298,1329932,1268229,1307805,1258031,61920,59354,58004,55988,54600,59824
"9","AFG","Afghanistan","IDA","South Asia",19362969582.3643,"Official bilateral","Italy",0,"06/19/2020",0,0,1370,1559,1489,0,0,0,0,0,0
"10","AFG","Afghanistan","IDA","South Asia",19362969582.3643,"Official bilateral","Kuwait",0,"06/19/2020",12756,22685,22492,22809,22685,114,114,114,114,114,114
"11","AFG","Afghanistan","IDA","South Asia",19362969582.3643,"Official bilateral","Saudi Arabia",0,"06/19/2020",55530,71790,69190,69539,77318,2881,2881,2881,2881,2881,2881
"12","AFG","Afghanistan","IDA","South Asia",19362969582.3643,"Official bilateral","Other bilateral",0,"06/19/2020",866208,865709,865209,864709,863959,73958,71377,68795,66213,63630,66749
"13","AFG","Afghanistan","IDA","South Asia",19362969582.3643,"Total Official bilateral","Total Official bilateral",1,"06/19/2020",934495,960184,958261,958616,965451,76953,74372,71790,69208,66626,69744
"14","AFG","Afghanistan","IDA","South Asia",19362969582.3643,"Total Non-official","Total Non-official",1,"06/19/2020",0,0,0,0,0,0,0,0,0,0,0
"15","AFG","Afghanistan","IDA","South Asia",19362969582.3643,"Total Bondholders","Total Bondholders",1,"06/19/2020",0,0,0,0,0,0,0,0,0,0,0
"16","AFG","Afghanistan","IDA","South Asia",19362969582.3643,"Total","Total",1,"06/19/2020",2355792,2290117,2226491,2266421,2223481,138873,133726,129794,125196,121226,129568
"17","AGO","Angola","IBRD","Sub-Saharan Africa ",105750987618.63,"Official multilateral","African Dev. Bank",0,"06/19/2020",648358,653391,1059641,1195831,1209295,117369,115758,113941,111787,109416,107045
